full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
krusemediallc/arcads-claude-code,1012,1012,275,3,3,3,https://github.com/krusemediallc/arcads-claude-code
VILA-Lab/Dive-into-Claude-Code,1903,1903,293,8,8,1,https://github.com/VILA-Lab/Dive-into-Claude-Code
digitalsamba/claude-code-video-toolkit,1750,1750,295,4,4,-1,https://github.com/digitalsamba/claude-code-video-toolkit
jeremylongshore/claude-code-plugins-plus-skills,2518,2518,360,-1,-1,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
OrcaWhisper/Claude-Code,84,84,166,0,0,1,https://github.com/OrcaWhisper/Claude-Code
centminmod/my-claude-code-setup,2506,2506,238,1,1,0,https://github.com/centminmod/my-claude-code-setup
xu-xiang/everything-claude-code-zh,1664,1664,278,4,4,2,https://github.com/xu-xiang/everything-claude-code-zh
alirezarezvani/claude-skills,22643,22643,3150,71,71,1,https://github.com/alirezarezvani/claude-skills
simonw/claude-code-transcripts,1616,1616,191,0,0,0,https://github.com/simonw/claude-code-transcripts
asgeirtj/system_prompts_leaks,58040,58040,9598,58040,58040,9598,https://github.com/asgeirtj/system_prompts_leaks
luongnv89/claude-howto,39876,39876,4818,39,39,6,https://github.com/luongnv89/claude-howto
